[20974.636363] GC: mov data/node block	gc_type=BG
[20974.636368] GC: segno[520] valid blocks[453]
[20974.645463] inode=7772, blkindex=2926 blkaddr=272896
[20974.659276] inode=7764, blkindex=2901 blkaddr=272970
[20974.659278] inode=7764, blkindex=2902 blkaddr=272971
[20974.659280] inode=7764, blkindex=2903 blkaddr=272972
[20974.659281] inode=7764, blkindex=2904 blkaddr=272973
[20974.659284] inode=7775, blkindex=2837 blkaddr=272974
[20974.659287] inode=7775, blkindex=2838 blkaddr=272975
[20974.659289] inode=7775, blkindex=2839 blkaddr=272976
[20974.659290] inode=7775, blkindex=2840 blkaddr=272977
[20974.659292] inode=7775, blkindex=2841 blkaddr=272978
[20974.659294] inode=7775, blkindex=2842 blkaddr=272979
[20974.659297] inode=7775, blkindex=2843 blkaddr=272980
[20974.659315] inode=7775, blkindex=2844 blkaddr=272981
[20974.659317] inode=7775, blkindex=2845 blkaddr=272982
[20974.659319] inode=7775, blkindex=2846 blkaddr=272983
[20974.659321] inode=7775, blkindex=2847 blkaddr=272984
[20974.659324] inode=7757, blkindex=2800 blkaddr=272985
[20974.659327] inode=7757, blkindex=2801 blkaddr=272986
[20974.659329] inode=7757, blkindex=2802 blkaddr=272987
[20974.659331] inode=7757, blkindex=2803 blkaddr=272988
[20974.659333] inode=7757, blkindex=2804 blkaddr=272989
[20974.659348] inode=7757, blkindex=2805 blkaddr=272990
[20974.659350] inode=7757, blkindex=2806 blkaddr=272991
[20974.659351] inode=7757, blkindex=2807 blkaddr=272992
[20974.659354] inode=7757, blkindex=2808 blkaddr=272993
[20974.659357] inode=7757, blkindex=2809 blkaddr=272994
[20974.659359] inode=7757, blkindex=2810 blkaddr=272995
[20974.659362] inode=7794, blkindex=2852 blkaddr=272996
[20974.659366] inode=7794, blkindex=2853 blkaddr=272997
[20974.659368] inode=7794, blkindex=2854 blkaddr=272998
[20974.659369] inode=7794, blkindex=2855 blkaddr=272999
[20974.659371] inode=7794, blkindex=2856 blkaddr=273000
[20974.659373] inode=7794, blkindex=2857 blkaddr=273001
[20974.659375] inode=7794, blkindex=2858 blkaddr=273002
[20974.659377] inode=7794, blkindex=2859 blkaddr=273003
[20974.659379] inode=7794, blkindex=2860 blkaddr=273004
[20974.659380] inode=7794, blkindex=2861 blkaddr=273005
[20974.659382] inode=7794, blkindex=2862 blkaddr=273006
[20974.659384] inode=7794, blkindex=2863 blkaddr=273007
[20974.659386] inode=7794, blkindex=2864 blkaddr=273008
[20974.659389] inode=7767, blkindex=2884 blkaddr=273009
[20974.659392] inode=7767, blkindex=2885 blkaddr=273010
[20974.659395] inode=7767, blkindex=2886 blkaddr=273011
[20974.659396] inode=7767, blkindex=2887 blkaddr=273012
[20974.659399] inode=7767, blkindex=2888 blkaddr=273013
[20974.659400] inode=7767, blkindex=2889 blkaddr=273014
[20974.659402] inode=7767, blkindex=2890 blkaddr=273015
[20974.659404] inode=7767, blkindex=2891 blkaddr=273016
[20974.659405] inode=7767, blkindex=2892 blkaddr=273017
[20974.659407] inode=7767, blkindex=2893 blkaddr=273018
[20974.659413] inode=7767, blkindex=2894 blkaddr=273019
[20974.659416] inode=7767, blkindex=2895 blkaddr=273020
[20974.659417] inode=7767, blkindex=2896 blkaddr=273021
[20974.659420] inode=7767, blkindex=2897 blkaddr=273022
[20974.659425] inode=7760, blkindex=2930 blkaddr=273041
[20974.659435] inode=7760, blkindex=2931 blkaddr=273042
[20974.659437] inode=7760, blkindex=2932 blkaddr=273043
[20974.659439] inode=7760, blkindex=2933 blkaddr=273044
[20974.659441] inode=7760, blkindex=2934 blkaddr=273045
[20974.659444] inode=7760, blkindex=2935 blkaddr=273046
[20974.659446] inode=7760, blkindex=2936 blkaddr=273047
[20974.659448] inode=7760, blkindex=2937 blkaddr=273048
[20974.659449] inode=7760, blkindex=2938 blkaddr=273049
[20974.659451] inode=7760, blkindex=2939 blkaddr=273050
[20974.659454] inode=7800, blkindex=2926 blkaddr=273051
[20974.659457] inode=7800, blkindex=2927 blkaddr=273052
[20974.659459] inode=7800, blkindex=2928 blkaddr=273053
[20974.659462] inode=7800, blkindex=2929 blkaddr=273054
[20974.659472] inode=7763, blkindex=2842 blkaddr=273055
[20974.659475] inode=7763, blkindex=2843 blkaddr=273056
[20974.659478] inode=7763, blkindex=2844 blkaddr=273057
[20974.659480] inode=7763, blkindex=2845 blkaddr=273058
[20974.659481] inode=7763, blkindex=2846 blkaddr=273059
[20974.659483] inode=7763, blkindex=2847 blkaddr=273060
[20974.659485] inode=7763, blkindex=2848 blkaddr=273061
[20974.659487] inode=7758, blkindex=2874 blkaddr=273062
[20974.659491] inode=7758, blkindex=2875 blkaddr=273063
[20974.659493] inode=7758, blkindex=2876 blkaddr=273064
[20974.659494] inode=7758, blkindex=2877 blkaddr=273065
[20974.659497] inode=7758, blkindex=2878 blkaddr=273066
[20974.659498] inode=7758, blkindex=2879 blkaddr=273067
[20974.659504] inode=7758, blkindex=2880 blkaddr=273068
[20974.659507] inode=7758, blkindex=2881 blkaddr=273069
[20974.659509] inode=7758, blkindex=2882 blkaddr=273070
[20974.659510] inode=7758, blkindex=2883 blkaddr=273071
[20974.659513] inode=7758, blkindex=2884 blkaddr=273072
[20974.659514] inode=7758, blkindex=2885 blkaddr=273073
[20974.659517] inode=7777, blkindex=2880 blkaddr=273074
[20974.659519] inode=7777, blkindex=2881 blkaddr=273075
[20974.659521] inode=7777, blkindex=2882 blkaddr=273076
[20974.659523] inode=7777, blkindex=2883 blkaddr=273077
[20974.659525] inode=7777, blkindex=2884 blkaddr=273078
[20974.659527] inode=7777, blkindex=2885 blkaddr=273079
[20974.659529] inode=7777, blkindex=2886 blkaddr=273080
[20974.659531] inode=7777, blkindex=2887 blkaddr=273081
[20974.659534] inode=7777, blkindex=2888 blkaddr=273082
[20974.659536] inode=7777, blkindex=2889 blkaddr=273083
[20974.659538] inode=7777, blkindex=2890 blkaddr=273084
[20974.659540] inode=7798, blkindex=2901 blkaddr=273085
[20974.659543] inode=7798, blkindex=2902 blkaddr=273086
[20974.659545] inode=7798, blkindex=2903 blkaddr=273087
[20974.659547] inode=7798, blkindex=2904 blkaddr=273088
[20974.659549] inode=7798, blkindex=2905 blkaddr=273089
[20974.659551] inode=7798, blkindex=2906 blkaddr=273090
[20974.659553] inode=7798, blkindex=2907 blkaddr=273091
[20974.659555] inode=7793, blkindex=2899 blkaddr=273092
[20974.659558] inode=7793, blkindex=2900 blkaddr=273093
[20974.659560] inode=7793, blkindex=2901 blkaddr=273094
[20974.659563] inode=7793, blkindex=2902 blkaddr=273095
[20974.659566] inode=7793, blkindex=2903 blkaddr=273096
[20974.659567] inode=7793, blkindex=2904 blkaddr=273097
[20974.659569] inode=7793, blkindex=2905 blkaddr=273098
[20974.659573] inode=7793, blkindex=2906 blkaddr=273099
[20974.659575] inode=7793, blkindex=2907 blkaddr=273100
[20974.659577] inode=7793, blkindex=2908 blkaddr=273101
[20974.659580] inode=7793, blkindex=2909 blkaddr=273102
[20974.659582] inode=7801, blkindex=3028 blkaddr=273103
[20974.659585] inode=7801, blkindex=3029 blkaddr=273104
[20974.659587] inode=7801, blkindex=3030 blkaddr=273105
[20974.659589] inode=7801, blkindex=3031 blkaddr=273106
[20974.659591] inode=7801, blkindex=3032 blkaddr=273107
[20974.659593] inode=7801, blkindex=3033 blkaddr=273108
[20974.659595] inode=7801, blkindex=3034 blkaddr=273109
[20974.659598] inode=7801, blkindex=3035 blkaddr=273110
[20974.659600] inode=7802, blkindex=2825 blkaddr=273111
[20974.659603] inode=7802, blkindex=2826 blkaddr=273112
[20974.659605] inode=7802, blkindex=2827 blkaddr=273113
[20974.659607] inode=7802, blkindex=2828 blkaddr=273114
[20974.659609] inode=7802, blkindex=2829 blkaddr=273115
[20974.659612] inode=7787, blkindex=2872 blkaddr=273116
[20974.659615] inode=7787, blkindex=2873 blkaddr=273117
[20974.659617] inode=7787, blkindex=2874 blkaddr=273118
[20974.659618] inode=7787, blkindex=2875 blkaddr=273119
[20974.659620] inode=7787, blkindex=2876 blkaddr=273120
[20974.659622] inode=7787, blkindex=2877 blkaddr=273121
[20974.659624] inode=7787, blkindex=2878 blkaddr=273122
[20974.659626] inode=7787, blkindex=2879 blkaddr=273123
[20974.659628] inode=7787, blkindex=2880 blkaddr=273124
[20974.659630] inode=7787, blkindex=2881 blkaddr=273125
[20974.659632] inode=7787, blkindex=2882 blkaddr=273126
[20974.659634] inode=7787, blkindex=2883 blkaddr=273127
[20974.659636] inode=7787, blkindex=2884 blkaddr=273128
[20974.659638] inode=7787, blkindex=2885 blkaddr=273129
[20974.659643] inode=7787, blkindex=2886 blkaddr=273130
[20974.659646] inode=7765, blkindex=2969 blkaddr=273131
[20974.659649] inode=7765, blkindex=2970 blkaddr=273132
[20974.659651] inode=7765, blkindex=2971 blkaddr=273133
[20974.659652] inode=7765, blkindex=2972 blkaddr=273134
[20974.659654] inode=7765, blkindex=2973 blkaddr=273135
[20974.659657] inode=7765, blkindex=2974 blkaddr=273136
[20974.659658] inode=7765, blkindex=2975 blkaddr=273137
[20974.659661] inode=7765, blkindex=2976 blkaddr=273138
[20974.659663] inode=7765, blkindex=2977 blkaddr=273139
[20974.659665] inode=7765, blkindex=2978 blkaddr=273140
[20974.659667] inode=7765, blkindex=2979 blkaddr=273141
[20974.659668] inode=7765, blkindex=2980 blkaddr=273142
[20974.659671] inode=7755, blkindex=2836 blkaddr=273143
[20974.659674] inode=7755, blkindex=2837 blkaddr=273144
[20974.659676] inode=7755, blkindex=2838 blkaddr=273145
[20974.659679] inode=7755, blkindex=2839 blkaddr=273146
[20974.659680] inode=7755, blkindex=2840 blkaddr=273147
[20974.659682] inode=7755, blkindex=2841 blkaddr=273148
[20974.659685] inode=7755, blkindex=2842 blkaddr=273149
[20974.659687] inode=7755, blkindex=2843 blkaddr=273150
[20974.659689] inode=7755, blkindex=2844 blkaddr=273151
[20974.659691] inode=7755, blkindex=2845 blkaddr=273152
[20974.659694] inode=7797, blkindex=2899 blkaddr=273153
[20974.659696] inode=7797, blkindex=2900 blkaddr=273154
[20974.659698] inode=7797, blkindex=2901 blkaddr=273155
[20974.659700] inode=7797, blkindex=2902 blkaddr=273156
[20974.659702] inode=7797, blkindex=2903 blkaddr=273157
[20974.659704] inode=7797, blkindex=2904 blkaddr=273158
[20974.659705] inode=7797, blkindex=2905 blkaddr=273159
[20974.659707] inode=7797, blkindex=2906 blkaddr=273160
[20974.659712] inode=7797, blkindex=2907 blkaddr=273161
[20974.659713] inode=7797, blkindex=2908 blkaddr=273162
[20974.659716] inode=7779, blkindex=2897 blkaddr=273163
[20974.659718] inode=7779, blkindex=2898 blkaddr=273164
[20974.659720] inode=7779, blkindex=2899 blkaddr=273165
[20974.659723] inode=7779, blkindex=2900 blkaddr=273166
[20974.659725] inode=7779, blkindex=2901 blkaddr=273167
[20974.659727] inode=7779, blkindex=2902 blkaddr=273168
[20974.659729] inode=7779, blkindex=2903 blkaddr=273169
[20974.659730] inode=7779, blkindex=2904 blkaddr=273170
[20974.659733] inode=7795, blkindex=2835 blkaddr=273182
[20974.659744] inode=7795, blkindex=2836 blkaddr=273183
[20974.659747] inode=7795, blkindex=2837 blkaddr=273184
[20974.659749] inode=7795, blkindex=2838 blkaddr=273185
[20974.659751] inode=7795, blkindex=2839 blkaddr=273186
[20974.659753] inode=7795, blkindex=2840 blkaddr=273187
[20974.659755] inode=7783, blkindex=2847 blkaddr=273188
[20974.659758] inode=7783, blkindex=2848 blkaddr=273189
[20974.659761] inode=7783, blkindex=2849 blkaddr=273190
[20974.659763] inode=7783, blkindex=2850 blkaddr=273191
[20974.659765] inode=7783, blkindex=2851 blkaddr=273192
[20974.659767] inode=7783, blkindex=2852 blkaddr=273193
[20974.659769] inode=7783, blkindex=2853 blkaddr=273194
[20974.659771] inode=7783, blkindex=2854 blkaddr=273195
[20974.659773] inode=7783, blkindex=2855 blkaddr=273196
[20974.659776] inode=7766, blkindex=2871 blkaddr=273197
[20974.659778] inode=7766, blkindex=2872 blkaddr=273198
[20974.659780] inode=7766, blkindex=2873 blkaddr=273199
[20974.659782] inode=7766, blkindex=2874 blkaddr=273200
[20974.659784] inode=7766, blkindex=2875 blkaddr=273201
[20974.659785] inode=7766, blkindex=2876 blkaddr=273202
[20974.659790] inode=7766, blkindex=2877 blkaddr=273203
[20974.659791] inode=7766, blkindex=2878 blkaddr=273204
[20974.659794] inode=7766, blkindex=2879 blkaddr=273205
[20974.659796] inode=7766, blkindex=2880 blkaddr=273206
[20974.659799] inode=7766, blkindex=2881 blkaddr=273207
[20974.659801] inode=7790, blkindex=2885 blkaddr=273208
[20974.659804] inode=7790, blkindex=2886 blkaddr=273209
[20974.659806] inode=7790, blkindex=2887 blkaddr=273210
[20974.659808] inode=7790, blkindex=2888 blkaddr=273211
[20974.659810] inode=7790, blkindex=2889 blkaddr=273212
[20974.659812] inode=7790, blkindex=2890 blkaddr=273213
[20974.659813] inode=7790, blkindex=2891 blkaddr=273214
[20974.659816] inode=7790, blkindex=2892 blkaddr=273215
[20974.659817] inode=7790, blkindex=2893 blkaddr=273216
[20974.659820] inode=7790, blkindex=2894 blkaddr=273217
[20974.659822] inode=7790, blkindex=2895 blkaddr=273218
[20974.659825] inode=7771, blkindex=2839 blkaddr=273219
[20974.659828] inode=7771, blkindex=2840 blkaddr=273220
[20974.659829] inode=7771, blkindex=2841 blkaddr=273221
[20974.659831] inode=7771, blkindex=2842 blkaddr=273222
[20974.659833] inode=7771, blkindex=2843 blkaddr=273223
[20974.659835] inode=7771, blkindex=2844 blkaddr=273224
[20974.659837] inode=7771, blkindex=2845 blkaddr=273225
[20974.659839] inode=7771, blkindex=2846 blkaddr=273226
[20974.659842] inode=7771, blkindex=2847 blkaddr=273227
[20974.659843] inode=7771, blkindex=2848 blkaddr=273228
[20974.659845] inode=7771, blkindex=2849 blkaddr=273229
[20974.659847] inode=7792, blkindex=2910 blkaddr=273230
[20974.659850] inode=7792, blkindex=2911 blkaddr=273231
[20974.659852] inode=7792, blkindex=2912 blkaddr=273232
[20974.659855] inode=7792, blkindex=2913 blkaddr=273233
[20974.659860] inode=7759, blkindex=2856 blkaddr=273234
[20974.659863] inode=7759, blkindex=2857 blkaddr=273235
[20974.659865] inode=7759, blkindex=2858 blkaddr=273236
[20974.659867] inode=7759, blkindex=2859 blkaddr=273237
[20974.659869] inode=7759, blkindex=2860 blkaddr=273238
[20974.659871] inode=7759, blkindex=2861 blkaddr=273239
[20974.659873] inode=7759, blkindex=2862 blkaddr=273240
[20974.659875] inode=7759, blkindex=2863 blkaddr=273241
[20974.659877] inode=7759, blkindex=2864 blkaddr=273242
[20974.659878] inode=7759, blkindex=2865 blkaddr=273243
[20974.659880] inode=7759, blkindex=2866 blkaddr=273244
[20974.659882] inode=7759, blkindex=2867 blkaddr=273245
[20974.659884] inode=7753, blkindex=2950 blkaddr=273246
[20974.659889] inode=7753, blkindex=2951 blkaddr=273247
[20974.659890] inode=7753, blkindex=2952 blkaddr=273248
[20974.659892] inode=7753, blkindex=2953 blkaddr=273249
[20974.659894] inode=7753, blkindex=2954 blkaddr=273250
[20974.659896] inode=7753, blkindex=2955 blkaddr=273251
[20974.659898] inode=7753, blkindex=2956 blkaddr=273252
[20974.659900] inode=7753, blkindex=2957 blkaddr=273253
[20974.659902] inode=7768, blkindex=2951 blkaddr=273254
[20974.659905] inode=7768, blkindex=2952 blkaddr=273255
[20974.659907] inode=7768, blkindex=2953 blkaddr=273256
[20974.659909] inode=7768, blkindex=2954 blkaddr=273257
[20974.659911] inode=7768, blkindex=2955 blkaddr=273258
[20974.659913] inode=7768, blkindex=2956 blkaddr=273259
[20974.659915] inode=7768, blkindex=2957 blkaddr=273260
[20974.659918] inode=7774, blkindex=2900 blkaddr=273261
[20974.659921] inode=7774, blkindex=2901 blkaddr=273262
[20974.659923] inode=7774, blkindex=2902 blkaddr=273263
[20974.659925] inode=7774, blkindex=2903 blkaddr=273264
[20974.659932] inode=7774, blkindex=2904 blkaddr=273265
[20974.659933] inode=7774, blkindex=2905 blkaddr=273266
[20974.659935] inode=7774, blkindex=2906 blkaddr=273267
[20974.659937] inode=7774, blkindex=2907 blkaddr=273268
[20974.659939] inode=7774, blkindex=2908 blkaddr=273269
[20974.659941] inode=7774, blkindex=2909 blkaddr=273270
[20974.659943] inode=7774, blkindex=2910 blkaddr=273271
[20974.659946] inode=7785, blkindex=2929 blkaddr=273272
[20974.659952] inode=7785, blkindex=2930 blkaddr=273273
[20974.659954] inode=7785, blkindex=2931 blkaddr=273274
[20974.659958] inode=7785, blkindex=2932 blkaddr=273275
[20974.659960] inode=7785, blkindex=2933 blkaddr=273276
[20974.659962] inode=7785, blkindex=2934 blkaddr=273277
[20974.659963] inode=7785, blkindex=2935 blkaddr=273278
[20974.659966] inode=7782, blkindex=2964 blkaddr=273279
[20974.659969] inode=7782, blkindex=2965 blkaddr=273280
[20974.659971] inode=7782, blkindex=2966 blkaddr=273281
[20974.659973] inode=7782, blkindex=2967 blkaddr=273282
[20974.659975] inode=7782, blkindex=2968 blkaddr=273283
[20974.659977] inode=7782, blkindex=2969 blkaddr=273284
[20974.659979] inode=7782, blkindex=2970 blkaddr=273285
[20974.659982] inode=7782, blkindex=2971 blkaddr=273286
[20974.659984] inode=7782, blkindex=2972 blkaddr=273287
[20974.659986] inode=7782, blkindex=2973 blkaddr=273288
[20974.659989] inode=7770, blkindex=2868 blkaddr=273289
[20974.659991] inode=7770, blkindex=2869 blkaddr=273290
[20974.659993] inode=7770, blkindex=2870 blkaddr=273291
[20974.659995] inode=7770, blkindex=2871 blkaddr=273292
[20974.659997] inode=7770, blkindex=2872 blkaddr=273293
[20974.659999] inode=7770, blkindex=2873 blkaddr=273294
[20974.660001] inode=7770, blkindex=2874 blkaddr=273295
[20974.660006] inode=7770, blkindex=2875 blkaddr=273296
[20974.660007] inode=7770, blkindex=2876 blkaddr=273297
[20974.660009] inode=7798, blkindex=2908 blkaddr=273298
[20974.660012] inode=7798, blkindex=2909 blkaddr=273299
[20974.660014] inode=7798, blkindex=2910 blkaddr=273300
[20974.660016] inode=7798, blkindex=2911 blkaddr=273301
[20974.660018] inode=7798, blkindex=2912 blkaddr=273302
[20974.660021] inode=7798, blkindex=2913 blkaddr=273303
[20974.660022] inode=7798, blkindex=2914 blkaddr=273304
[20974.660024] inode=7798, blkindex=2915 blkaddr=273305
[20974.660026] inode=7798, blkindex=2916 blkaddr=273306
[20974.660042] inode=7798, blkindex=2917 blkaddr=273307
[20974.660043] inode=7798, blkindex=2918 blkaddr=273308
[20974.660045] inode=7798, blkindex=2919 blkaddr=273309
[20974.660048] inode=7758, blkindex=2886 blkaddr=273310
[20974.660050] inode=7758, blkindex=2887 blkaddr=273311
[20974.660052] inode=7758, blkindex=2888 blkaddr=273312
[20974.660054] inode=7758, blkindex=2889 blkaddr=273313
[20974.660056] inode=7758, blkindex=2890 blkaddr=273314
[20974.660057] inode=7758, blkindex=2891 blkaddr=273315
[20974.660059] inode=7758, blkindex=2892 blkaddr=273316
[20974.660062] inode=7758, blkindex=2893 blkaddr=273317
[20974.660064] inode=7758, blkindex=2894 blkaddr=273318
[20974.660066] inode=7758, blkindex=2895 blkaddr=273319
[20974.660067] inode=7758, blkindex=2896 blkaddr=273320
[20974.660069] inode=7758, blkindex=2897 blkaddr=273321
[20974.660071] inode=7758, blkindex=2898 blkaddr=273322
[20974.660073] inode=7758, blkindex=2899 blkaddr=273323
[20974.660075] inode=7797, blkindex=2909 blkaddr=273324
[20974.660077] inode=7797, blkindex=2910 blkaddr=273325
[20974.660080] inode=7797, blkindex=2911 blkaddr=273326
[20974.660098] inode=7797, blkindex=2912 blkaddr=273327
[20974.660100] inode=7797, blkindex=2913 blkaddr=273328
[20974.660102] inode=7797, blkindex=2914 blkaddr=273329
[20974.660104] inode=7797, blkindex=2915 blkaddr=273330
[20974.660107] inode=7797, blkindex=2916 blkaddr=273331
[20974.660109] inode=7797, blkindex=2917 blkaddr=273332
[20974.660111] inode=7797, blkindex=2918 blkaddr=273333
[20974.660113] inode=7797, blkindex=2919 blkaddr=273334
[20974.660115] inode=7797, blkindex=2920 blkaddr=273335
[20974.660118] inode=7797, blkindex=2921 blkaddr=273336
[20974.660120] inode=7797, blkindex=2922 blkaddr=273337
[20974.660122] inode=7797, blkindex=2923 blkaddr=273338
[20974.660124] inode=7799, blkindex=2824 blkaddr=273339
[20974.660127] inode=7799, blkindex=2825 blkaddr=273340
[20974.660128] inode=7799, blkindex=2826 blkaddr=273341
[20974.660130] inode=7799, blkindex=2827 blkaddr=273342
[20974.660132] inode=7799, blkindex=2828 blkaddr=273343
[20974.660134] inode=7799, blkindex=2829 blkaddr=273344
[20974.660136] inode=7799, blkindex=2830 blkaddr=273345
[20974.660138] inode=7799, blkindex=2831 blkaddr=273346
[20974.660140] inode=7799, blkindex=2832 blkaddr=273347
[20974.660141] inode=7763, blkindex=2849 blkaddr=273348
[20974.660144] inode=7763, blkindex=2850 blkaddr=273349
[20974.660145] inode=7763, blkindex=2851 blkaddr=273350
[20974.660156] inode=7763, blkindex=2852 blkaddr=273351
[20974.660159] inode=7763, blkindex=2853 blkaddr=273352
[20974.660161] inode=7763, blkindex=2854 blkaddr=273353
[20974.660163] inode=7763, blkindex=2855 blkaddr=273354
[20974.660165] inode=7763, blkindex=2856 blkaddr=273355
[20974.660166] inode=7763, blkindex=2857 blkaddr=273356
[20974.660169] inode=7763, blkindex=2858 blkaddr=273357
[20974.660173] inode=7763, blkindex=2859 blkaddr=273358
[20974.660176] inode=7773, blkindex=2865 blkaddr=273359
[20974.660179] inode=7773, blkindex=2866 blkaddr=273360
[20974.660181] inode=7773, blkindex=2867 blkaddr=273361
[20974.660183] inode=7773, blkindex=2868 blkaddr=273362
[20974.660184] inode=7773, blkindex=2869 blkaddr=273363
[20974.660186] inode=7773, blkindex=2870 blkaddr=273364
[20974.660188] inode=7773, blkindex=2871 blkaddr=273365
[20974.660190] inode=7773, blkindex=2872 blkaddr=273366
[20974.660192] inode=7773, blkindex=2873 blkaddr=273367
[20974.660194] inode=7773, blkindex=2874 blkaddr=273368
[20974.660196] inode=7773, blkindex=2875 blkaddr=273369
[20974.660198] inode=7801, blkindex=3036 blkaddr=273380
[20974.660201] inode=7801, blkindex=3037 blkaddr=273381
[20974.660203] inode=7801, blkindex=3038 blkaddr=273382
[20974.660205] inode=7801, blkindex=3039 blkaddr=273383
[20974.660207] inode=7801, blkindex=3040 blkaddr=273384
[20974.660209] inode=7801, blkindex=3041 blkaddr=273385
[20974.660211] inode=7801, blkindex=3042 blkaddr=273386
[20974.660213] inode=7801, blkindex=3043 blkaddr=273387
[20974.660215] inode=7801, blkindex=3044 blkaddr=273388
[20974.660216] inode=7801, blkindex=3045 blkaddr=273389
[20974.660218] inode=7801, blkindex=3046 blkaddr=273390
[20974.660220] inode=7801, blkindex=3047 blkaddr=273391
[20974.660222] inode=7801, blkindex=3048 blkaddr=273392
[20974.660223] inode=7801, blkindex=3049 blkaddr=273393
[20974.660226] inode=7801, blkindex=3050 blkaddr=273394
[20974.660228] inode=7801, blkindex=3051 blkaddr=273395
[20974.660230] inode=7753, blkindex=2958 blkaddr=273405
[20974.660234] inode=7753, blkindex=2959 blkaddr=273406
[20974.660236] inode=7753, blkindex=2960 blkaddr=273407
[20974.660241] after ranking
[20974.660242] inode=7772, blkindex=2926 blkaddr=272896
[20974.674292] inode=7772, blkindex=2927 blkaddr=272897
[20974.674296] inode=7786, blkindex=2960 blkaddr=272898
[20974.674300] inode=7786, blkindex=2961 blkaddr=272899
[20974.674301] inode=7786, blkindex=2962 blkaddr=272900
[20974.674302] inode=7786, blkindex=2963 blkaddr=272901
[20974.674303] inode=7786, blkindex=2964 blkaddr=272902
[20974.674304] inode=7786, blkindex=2965 blkaddr=272903
[20974.674305] inode=7786, blkindex=2966 blkaddr=272904
